presentada,fecha
ZEC,27-07-2015
PSOE,27-07-2015
CHA,27-07-2015
C'S,02-10-2015
C'S,02-10-2015
PSOE,30-10-2015
C'S,27-11-2015
CHA,27-11-2015
PSOE,27-11-2015
PSOE,27-11-2015
PSOE,23-12-2015
PSOE,23-12-2015
C'S,28-01-2016
PSOE,28-01-2016
PSOE,26-02-2016
PSOE,26-02-2016
PSOE,26-02-2016
CHA,23-03-2016
PSOE,29-04-2016
C'S,27-05-2016
PSOE,27-05-2016
PSOE,01-07-2016
C'S,22-07-2016
C'S,22-07-2016
PSOE,30-09-2016
PSOE,30-09-2016
PSOE,30-09-2016
PSOE,30-09-2016
PSOE,30-09-2016
PSOE,30-09-2016
C'S,30-09-2016
C'S,28-10-2016
PSOE,28-10-2016
C'S,28-10-2016
C'S,28-10-2016
C'S,28-10-2016
CHA,28-10-2016
PSOE,28-10-2016
PSOE,28-10-2016
PSOE,02-12-2016
PSOE,02-12-2016
PSOE,02-12-2016
C'S,23-12-2016
PSOE,23-12-2016
C'S,03-02-2017
C'S,03-02-2017
PSOE,03-02-2017
CHA,24-02-2017
C'S,24-02-2017
C'S,24-02-2017
C'S,31-03-2017
C'S,31-03-2017
C'S,31-03-2017
PSOE,31-03-2017
PSOE,31-03-2017
PSOE,28-04-2017
PSOE,28-04-2017
C'S,28-04-2017
ZEC,02-06-2017
PSOE,31-03-2017
PSOE,28-07-2017
C'S,28-07-2017
PSOE,28-07-2017
PSOE,28-07-2017
PSOE,28-07-2017
CHA,29-09-2017
C'S,30-10-2017
C'S,30-10-2017
C'S,24-11-2017
C'S,22-12-2017
PSOE,22-12-2017
PSOE,02-02-2018
C'S,02-02-2018
C'S,02-03-2018
CHA,02-03-2018
PSOE,02-03-2018
PSOE,26-03-2018
PSOE,26-03-2018
C'S,26-03-2018
C'S,26-03-2018
C'S,04-05-2018
PSOE,04-05-2018
PSOE,04-05-2018
PSOE,04-05-2018
C'S,04-05-2018
C'S,01-06-2018
C'S,01-06-2018
C'S,01-06-2018
C'S,01-06-2018
C'S,01-06-2018
PSOE,01-06-2018
PSOE,29-06-2018
CHA,29-06-2018
CHA,29-06-2018
PSOE,29-06-2018
C'S,27-07-2018
C'S,27-07-2018
PSOE,27-07-2018
PSOE,27-07-2018
PSOE,28-09-2018
PSOE,28-09-2018
C'S,29-10-2018
C'S,29-10-2018
C'S,29-10-2018
PSOE,29-10-2018
PSOE,29-10-2018
PSOE,29-10-2018
ZEC,27-07-2015
PSOE,27-07-2015
CHA,27-07-2015
C'S,02-10-2015
C'S,02-10-2015
PSOE,30-10-2015
C'S,27-11-2015
CHA,27-11-2015
PSOE,27-11-2015
PSOE,27-11-2015
PSOE,23-12-2015
PSOE,23-12-2015
C'S,28-01-2016
PSOE,28-01-2016
PSOE,26-02-2016
PSOE,26-02-2016
PSOE,26-02-2016
CHA,23-03-2016
PSOE,29-04-2016
C'S,27-05-2016
PSOE,27-05-2016
PSOE,01-07-2016
C'S,22-07-2016
C'S,22-07-2016
PSOE,30-09-2016
PSOE,30-09-2016
PSOE,30-09-2016
PSOE,30-09-2016
PSOE,30-09-2016
PSOE,30-09-2016
C'S,30-09-2016
C'S,28-10-2016
PSOE,28-10-2016
C'S,28-10-2016
C'S,28-10-2016
C'S,28-10-2016
CHA,28-10-2016
PSOE,28-10-2016
PSOE,28-10-2016
PSOE,02-12-2016
PSOE,02-12-2016
PSOE,02-12-2016
C'S,23-12-2016
PSOE,23-12-2016
C'S,03-02-2017
C'S,03-02-2017
PSOE,03-02-2017
CHA,24-02-2017
C'S,24-02-2017
C'S,24-02-2017
C'S,31-03-2017
C'S,31-03-2017
C'S,31-03-2017
PSOE,31-03-2017
PSOE,31-03-2017
PSOE,28-04-2017
PSOE,28-04-2017
C'S,28-04-2017
ZEC,02-06-2017
PSOE,31-03-2017
PSOE,28-07-2017
C'S,28-07-2017
PSOE,28-07-2017
PSOE,28-07-2017
PSOE,28-07-2017
CHA,29-09-2017
C'S,30-10-2017
C'S,30-10-2017
C'S,24-11-2017
C'S,22-12-2017
PSOE,22-12-2017
PSOE,02-02-2018
C'S,02-02-2018
C'S,02-03-2018
CHA,02-03-2018
PSOE,02-03-2018
PSOE,26-03-2018
PSOE,26-03-2018
C'S,26-03-2018
C'S,26-03-2018
C'S,04-05-2018
PSOE,04-05-2018
PSOE,04-05-2018
PSOE,04-05-2018
C'S,04-05-2018
C'S,01-06-2018
C'S,01-06-2018
C'S,01-06-2018
C'S,01-06-2018
C'S,01-06-2018
PSOE,01-06-2018
PSOE,29-06-2018
CHA,29-06-2018
CHA,29-06-2018
PSOE,29-06-2018
C'S,27-07-2018
C'S,27-07-2018
PSOE,27-07-2018
PSOE,27-07-2018
PSOE,28-09-2018
PSOE,28-09-2018
C'S,29-10-2018
C'S,29-10-2018
C'S,29-10-2018
PSOE,29-10-2018
PSOE,29-10-2018
PSOE,29-10-2018
