presentada,fecha
PSOE,27-07-2015
PSOE,27-07-2015
PSOE,02-10-2015
CHA,02-10-2015
C'S,02-10-2015
CHA,02-10-2015
CHA,30-10-2015
PSOE,30-10-2015
PSOE,30-10-2015
PSOE,30-10-2015
PSOE,27-11-2015
CHA,23-12-2015
CHA,23-12-2015
CHA,23-12-2015
CHA,23-12-2015
CHA,23-12-2015
CHA,23-12-2015
CHA,23-12-2015
PP,23-12-2015
PP,28-01-2016
PSOE,28-01-2016
PSOE,28-01-2016
PSOE,28-01-2016
PSOE,28-01-2016
PSOE,28-01-2016
C'S,28-01-2016
CHA,28-01-2016
PSOE,28-01-2016
CHA,28-01-2016
CHA,26-02-2016
PSOE,26-02-2016
CHA,26-02-2016
PP,23-03-2016
CHA,23-03-2016
C'S,29-04-2016
CHA,29-04-2016
CHA,29-04-2016
CHA,29-04-2016
CHA,29-04-2016
CHA,29-04-2016
CHA,27-05-2016
C'S,27-05-2016
CHA,27-05-2016
PSOE,01-07-2016
CHA,01-07-2016
CHA,30-09-2016
PSOE,30-09-2016
C'S,30-09-2016
CHA,28-10-2016
C'S,02-12-2016
C'S,02-12-2016
C'S,23-12-2016
PSOE,23-12-2016
PP,23-12-2016
CHA,23-12-2016
CHA,03-02-2017
CHA,03-02-2017
CHA,03-02-2017
PSOE,03-02-2017
CHA,03-02-2017
CHA,31-03-2017
CHA,31-03-2017
C'S,31-03-2017
C'S,02-06-2017
C'S,02-06-2017
CHA,28-04-2017
CHA,28-04-2017
CHA,28-04-2017
C'S,28-04-2017
CHA,02-06-2017
CHA,02-06-2017
CHA,30-06-2017
CHA,30-06-2017
CHA,30-06-2017
C'S,28-07-2017
CHA,29-09-2017
PSOE,30-10-2017
CHA,22-12-2017
CHA,02-02-2018
PP,02-02-2018
PP,02-02-2018
PSOE,26-03-2018
CHA,04-05-2018
PP,01-06-2018
CHA,01-06-2018
C'S,29-06-2018
C'S,29-06-2018
CHA,29-06-2018
C'S,27-07-2018
C'S,27-07-2018
CHA,28-09-2018
CHA,29-10-2018
PSOE,27-07-2015
PSOE,27-07-2015
PSOE,02-10-2015
CHA,02-10-2015
C'S,02-10-2015
CHA,02-10-2015
CHA,30-10-2015
PSOE,30-10-2015
PSOE,30-10-2015
PSOE,30-10-2015
PSOE,27-11-2015
CHA,23-12-2015
CHA,23-12-2015
CHA,23-12-2015
CHA,23-12-2015
CHA,23-12-2015
CHA,23-12-2015
CHA,23-12-2015
PP,23-12-2015
PP,28-01-2016
PSOE,28-01-2016
PSOE,28-01-2016
PSOE,28-01-2016
PSOE,28-01-2016
PSOE,28-01-2016
C'S,28-01-2016
CHA,28-01-2016
PSOE,28-01-2016
CHA,28-01-2016
CHA,26-02-2016
PSOE,26-02-2016
CHA,26-02-2016
PP,23-03-2016
CHA,23-03-2016
C'S,29-04-2016
CHA,29-04-2016
CHA,29-04-2016
CHA,29-04-2016
CHA,29-04-2016
CHA,29-04-2016
CHA,27-05-2016
C'S,27-05-2016
CHA,27-05-2016
PSOE,01-07-2016
CHA,01-07-2016
CHA,30-09-2016
PSOE,30-09-2016
C'S,30-09-2016
CHA,28-10-2016
C'S,02-12-2016
C'S,02-12-2016
C'S,23-12-2016
PSOE,23-12-2016
PP,23-12-2016
CHA,23-12-2016
CHA,03-02-2017
CHA,03-02-2017
CHA,03-02-2017
PSOE,03-02-2017
CHA,03-02-2017
CHA,31-03-2017
CHA,31-03-2017
C'S,31-03-2017
C'S,02-06-2017
C'S,02-06-2017
CHA,28-04-2017
CHA,28-04-2017
CHA,28-04-2017
C'S,28-04-2017
CHA,02-06-2017
CHA,02-06-2017
CHA,30-06-2017
CHA,30-06-2017
CHA,30-06-2017
C'S,28-07-2017
CHA,29-09-2017
PSOE,30-10-2017
CHA,22-12-2017
CHA,02-02-2018
PP,02-02-2018
PP,02-02-2018
PSOE,26-03-2018
CHA,04-05-2018
PP,01-06-2018
CHA,01-06-2018
C'S,29-06-2018
C'S,29-06-2018
CHA,29-06-2018
C'S,27-07-2018
C'S,27-07-2018
CHA,28-09-2018
CHA,29-10-2018
