partido,tema,fecha
Ciudadanos,Educación,8/4/2019
Ciudadanos,Empleo,7/4/2019
Ciudadanos,Género,7/4/2019
Ciudadanos,Sanidad,7/4/2019
Ciudadanos,Sanidad,7/4/2019
Ciudadanos,Empleo,7/4/2019
Ciudadanos,Empleo,4/4/2019
Ciudadanos,Género,4/4/2019
Ciudadanos,Empleo,3/4/2019
Ciudadanos,Fiscalidad,3/4/2019
Ciudadanos,Calidad democrática,3/4/2019
Ciudadanos,Género,1/4/2019
Ciudadanos,Fiscalidad,1/4/2019
Ciudadanos,Cambio climático,30/3/2019
Ciudadanos,Cambio climático,30/3/2019
Ciudadanos,Género,30/3/2019
Ciudadanos,Género,30/3/2019
Ciudadanos,Cambio climático,29/3/2019
Ciudadanos,Cambio climático,29/3/2019
Ciudadanos,Calidad democrática,26/3/2019
Ciudadanos,Empleo,25/3/2019
Ciudadanos,Fiscalidad,24/3/2019
Ciudadanos,Género,24/3/2019
Ciudadanos,Sanidad,22/3/2019
Ciudadanos,Educación,21/3/2019
Ciudadanos,Sanidad,19/3/2019
Ciudadanos,Empleo,19/3/2019
Ciudadanos,Educación,16/3/2019
Ciudadanos,Sanidad,15/3/2019
Ciudadanos,Género,14/3/2019
Ciudadanos,Género,13/3/2019
Ciudadanos,Calidad democrática,11/3/2019
Ciudadanos,Calidad democrática,10/3/2019
Ciudadanos,Desarrollo,10/3/2019
Ciudadanos,Calidad democrática,10/3/2019
Ciudadanos,Educación,9/3/2019
Ciudadanos,Empleo,6/3/2019
Ciudadanos,Empleo,6/3/2019
Ciudadanos,Empleo,6/3/2019
Ciudadanos,Empleo,6/3/2019
Ciudadanos,Protección social,6/3/2019
Ciudadanos,Fiscalidad,5/3/2019
Ciudadanos,Empleo,5/3/2019
