partido,tema,fecha
Partido Socialista,Educación,26/3/2019
Partido Socialista,Educación,26/3/2019
Partido Socialista,Calidad democrática,17/3/2019
Partido Socialista,Educación,17/3/2019
Partido Socialista,Género,10/3/2019
Partido Socialista,Cambio climático,7/3/2019
Partido Socialista,Fiscalidad,7/3/2019
Partido Socialista,Educación,6/3/2019
Partido Socialista,Educación,6/3/2019
Partido Socialista,Educación,6/3/2019
Partido Socialista,Cambio climático,6/3/2019
Partido Socialista,Educación,18/2/2019
