partido,tema,fecha
Vox,Género,8/4/2019
Vox,Sanidad,8/4/2019
Vox,Conflictos y migración,8/4/2019
Vox,Conflictos y migración,8/4/2019
Vox,Sanidad,8/4/2019
Vox,Sanidad,8/4/2019
Vox,Género,5/4/2019
Vox,Género,5/4/2019
Vox,Fiscalidad,5/4/2019
Vox,Género,1/4/2019
Vox,Conflictos y migración,1/4/2019
Vox,Conflictos y migración,1/4/2019
Vox,Fiscalidad,1/4/2019
Vox,Conflictos y migración,31/3/2019
Vox,Conflictos y migración,23/3/2019
Vox,Fiscalidad,23/3/2019
Vox,Conflictos y migración,23/3/2019
Vox,Conflictos y migración,20/3/2019
