Numero,Partido,Enlace
2. ,Presentada por el grupo municipal Socialista,http://www.zaragoza.es/ciudad/organizacion/plenos/detalle_Mociones?id=3541
3. ,Presentada por el grupo municipal de Ciudadanos-Partido de la Ciudadanía,http://www.zaragoza.es/ciudad/organizacion/plenos/detalle_Mociones?id=3542
4. ,Presentada por el grupo municipal Popular,http://www.zaragoza.es/ciudad/organizacion/plenos/detalle_Mociones?id=3543
5. ,Presentada por el grupo municipal de Ciudadanos-Partido de la Ciudadanía,http://www.zaragoza.es/ciudad/organizacion/plenos/detalle_Mociones?id=3544
6. ,Presentada por el grupo municipal Popular,http://www.zaragoza.es/ciudad/organizacion/plenos/detalle_Mociones?id=3545
7. ,Presentada por el grupo municipal Popular,http://www.zaragoza.es/ciudad/organizacion/plenos/detalle_Mociones?id=3547
8. ,Presentada por el grupo municipal Chunta Aragonesista,http://www.zaragoza.es/ciudad/organizacion/plenos/detalle_Mociones?id=3548
9. ,Presentada por el Grupo Municipal Chunta Aragonesista,http://www.zaragoza.es/ciudad/organizacion/plenos/detalle_Mociones?id=3550
10. ,Presentada por el Grupo Municipal Ciudadanos-Partido de la Ciudadanía,http://www.zaragoza.es/ciudad/organizacion/plenos/detalle_Mociones?id=3551
11. ,Presentada por el Grupo Municipal Zaragoza en Común,http://www.zaragoza.es/ciudad/organizacion/plenos/detalle_Mociones?id=3552
12. ,Presentada por el Grupo Municipal PSOE,http://www.zaragoza.es/ciudad/organizacion/plenos/detalle_Mociones?id=3553
13. ,Presentada por el Grupo Municipal PSOE,http://www.zaragoza.es/ciudad/organizacion/plenos/detalle_Mociones?id=3555
14. ,Presentada por el Grupo Municipal PSOE,http://www.zaragoza.es/ciudad/organizacion/plenos/detalle_Mociones?id=3556
15. ,Presentada por el Grupo Municipal Zaragoza en Común,http://www.zaragoza.es/ciudad/organizacion/plenos/detalle_Mociones?id=3557
16. ,Presentada por el grupo Municipal Chunta Aragonesista,http://www.zaragoza.es/ciudad/organizacion/plenos/detalle_Mociones?id=3558
17. ,Presentada por razones de urgencia por el grupo Municipal Popular,http://www.zaragoza.es/ciudad/organizacion/plenos/detalle_Mociones?id=3559
